Date,Medium,Avg. order value
1/1/2014,cpc,169.96
1/1/2014,organic,138.9
1/2/2014,cpc,144.68
1/2/2014,organic,218.76
1/3/2014,cpc,187.78
1/3/2014,organic,5695
1/4/2014,cpc,685.34
1/4/2014,organic,275.41
1/5/2014,cpc,250.8
1/5/2014,organic,338.29
1/6/2014,cpc,316.96
1/6/2014,organic,221.3
1/7/2014,cpc,555.59
1/7/2014,organic,737.77
1/8/2014,cpc,171.43
1/8/2014,organic,224.09
1/9/2014,cpc,293.94
1/9/2014,organic,679.95
1/10/2014,cpc,221.74
1/10/2014,organic,116.77
1/11/2014,cpc,253.58
1/11/2014,organic,708.14
1/12/2014,cpc,308.72
1/12/2014,organic,208.38
1/13/2014,cpc,251.7
1/13/2014,organic,513.93
1/14/2014,cpc,276.39
1/14/2014,organic,457.4
1/15/2014,cpc,297.21
1/15/2014,organic,14.74
1/16/2014,cpc,194.35
1/16/2014,organic,27.99
1/17/2014,cpc,214.24
1/17/2014,organic,524.61
1/18/2014,cpc,233.94
1/18/2014,organic,
1/19/2014,cpc,182.26
1/19/2014,organic,170.7
1/20/2014,cpc,179.66
1/20/2014,organic,700.13
1/21/2014,cpc,213.67
1/21/2014,organic,127.45
1/22/2014,cpc,515
1/22/2014,organic,542.78
1/23/2014,cpc,323.88
1/23/2014,organic,59.57
1/24/2014,cpc,235.7
1/24/2014,organic,759.45
1/25/2014,cpc,151.97
1/25/2014,organic,273.68
1/26/2014,cpc,527.81
1/26/2014,organic,127.3
1/27/2014,cpc,146.22
1/27/2014,organic,2989.98
1/28/2014,cpc,796.57
1/28/2014,organic,436.95
1/29/2014,cpc,218.65
1/29/2014,organic,340.1
1/30/2014,cpc,548.73
1/30/2014,organic,209.47
1/31/2014,cpc,234.89
1/31/2014,organic,252.16
2/1/2014,cpc,244.13
2/1/2014,organic,43.25
2/2/2014,cpc,265.36
2/2/2014,organic,153.76
2/3/2014,cpc,264.42
2/3/2014,organic,513.46
2/4/2014,cpc,225.95
2/4/2014,organic,546.13
2/5/2014,cpc,152.84
2/5/2014,organic,380.7
2/6/2014,cpc,254.06
2/6/2014,organic,133.97
2/7/2014,cpc,217.71
2/7/2014,organic,294.39
2/8/2014,cpc,59.54
2/8/2014,organic,21.47
2/9/2014,cpc,219.13
2/9/2014,organic,81.94
2/10/2014,cpc,253.29
2/10/2014,organic,281.28
2/11/2014,cpc,400.94
2/11/2014,organic,1988.39
2/12/2014,cpc,324.92
2/12/2014,organic,498.84
2/13/2014,cpc,681.66
2/13/2014,organic,453.15
2/14/2014,cpc,338.91
2/14/2014,organic,540.48
2/15/2014,cpc,166.02
2/15/2014,organic,325.79
2/16/2014,cpc,279.33
2/16/2014,organic,207.08
2/17/2014,cpc,200.36
2/17/2014,organic,1667.26
2/18/2014,cpc,459.57
2/18/2014,organic,451.32
2/19/2014,cpc,252.44
2/19/2014,organic,184.8
2/20/2014,cpc,269.13
2/20/2014,organic,95.82
2/21/2014,cpc,432.28
2/21/2014,organic,211.96
